"tree.uniqueID","X","Y"
"9pj3_1397",-119.013084547505,37.6891830093903
"9pj3_1398",-119.013072321428,37.6891840046704
"9pj3_1400",-119.013057003927,37.6891778542533
"9pj3_1401",-119.013106384635,37.6891984348437
"9pj3_1402",-119.013100127709,37.6892073626609
"9pj3_1403",-119.013088534516,37.6892124483312
"9pj3_1099",-119.013069600402,37.6891913486871
"9pj3_1404",-119.013060032364,37.6891983207791
"9pj3_1405",-119.013049028076,37.689195266989
"9pc3_1406",-119.013133366974,37.6892854181592
"9pj3_1407",-119.01303939551,37.6892129963237
"9pj3_1408",-119.013032464242,37.6892190760251
"9pj3_1409",-119.013035629093,37.6892246612246
"9pj3_1410",-119.013040508286,37.68922980565
"9pj3_1411",-119.013053572513,37.6892249850353
"9pj3_1412",-119.013057300371,37.6892331292083
"9pj3_1413",-119.01302966038,37.6892504415374
"9pj3_1414",-119.013032417197,37.6892599179522
"9pj3_1415",-119.013034619984,37.6892654010653
"9pj3_1416",-119.013020740808,37.6892785675433
"9pj3_1417",-119.013027497751,37.689302479846
"9pj3_1418",-119.013013318078,37.6892961826369
"9pj3_1419",-119.013009621041,37.6893129461165
"9pj3_1420",-119.013013858997,37.6893131100724
"9pj3_1421",-119.012996789102,37.6893068933721
"9pc2_1422",-119.015178391936,37.6889196848271
"9pc2_1423",-119.015191933095,37.6889261534196
"9pj2_1425",-119.015241841588,37.6889075658559
"9pj2_1426",-119.015244345235,37.688909007655
"9pj2_1427",-119.015233257373,37.6889311776074
"9pj2_1428",-119.015327996472,37.6888959615862
"9pj2_1429",-119.015417423477,37.6886461079735
"9pj2_1430",-119.015419143499,37.6886423843774
"9pj2_1431",-119.015422563245,37.6886247174816
"9pj2_1432",-119.015575585403,37.6885828084595
"9pj2_1433",-119.015576456355,37.6885406664382
"9pc2_1434",-119.015534701151,37.6885014849959
"9pj2_1435",-119.015458406208,37.688446838891
"9pj2_1436",-119.015436438023,37.6884257977728
"9pj2_1437",-119.015423111264,37.6884213674486
"9pj2_1438",-119.015340030483,37.6884863346126
"9pj1_1841",-119.014305467921,37.689620837018
"9pj1_1842",-119.014335661505,37.6896404945045
"9pj1_1843",-119.014345901827,37.6896224589333
"9pj1_1844",-119.014365162092,37.6896141975952
"9pj1_1845",-119.014368921668,37.6896258443929
"9pj1_1846",-119.014427918775,37.6895951775752
"9pj1_1847",-119.014432899357,37.6896084452679
"9ac1_1848",-119.014460445823,37.6895770921635
"9pj1_1850",-119.01448287743,37.6895822611072
"9pj1_1851",-119.014511911663,37.6896055531891
"9pj1_1849",-119.014479807297,37.6896124430685
"9pj1_1852",-119.014542723222,37.6895999674353
"9pj1_1853",-119.014552779194,37.6895785810163
"9pj1_1854",-119.014531428574,37.6895584589694
"9pj1_1855",-119.014544411131,37.6895513639058
