"focalID","focalDBH","focalBA","hegyi","BA"
"11ac3_2",19.8,0.0307908216,6.84795546739526,379.2548693472
"11ac3_4",47.4,0.1764605304,1.37772002077014,81.5211490632
"11pj1_1",61.4,0.2960926584,0.649163155742147,39.833037552
"11pj1_2",26.1,0.0535022334,4.64815571201147,57.6556108128
"11pj1_3",26.6,0.0555717624,4.65285339200038,57.6059421168
"11pj1_4",59.8,0.2808621816,1.50259658634252,26.8058653632
"11pj2_1",54.1,0.2298716574,1.0412513899024,71.0598079884
"11pj2_15",27.9,0.0611363214,1.55851688512567,56.50022301
"11pj2_16",19.5,0.029864835,2.63221709555891,68.739338976
"11pj2_2",39.8,0.1244105016,2.3189696592999,36.5178115302
"11pj3_1",29,0.06605214,4.25635457122108,149.6771753862
"11pj3_2",77.1,0.4668739614,1.42662682672702,288.006627678
"11pj3_3",11,0.00950334,8.97625481577789,133.2518185152
"11pj3_4",83,0.54106206,1.21605391070789,152.3757500958
"11pj3_5",23.9,0.0448628334,5.66750457900724,224.0872303824
"11pl1_1",46.2,0.1676389176,1.22681201790568,52.0731439074
"11pl1_2",98,0.75429816,0.466944492742661,32.5449088272
