"","Year","zeroRing","raw_growth","BAI","spline_growth","fss_growth","Site","Species","Neighborhood","ID","label","siteno","Region","hilo","tree.uniqueID","DBH","focalBA","hegyi","BA","Name","Longitude","Latitude","Date","Month","hydroyear","total_ppt_mm","mean_temp_C","spei1","spei6","spei12","spi12","cutoff","droughtyear","post1","post2","spei_post1","spei_post2","Year_post1","Year_post2","avg_growth","diff","reduction","drought_fx","post1_fx","post2_fx"
"1931",2007,"no",0.665,642.822684503119,0.891214317980236,0.841120289106869,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"2007-09",9,2007,403,5.74166666666667,-0.211864651994874,-1.72423792533179,-1.39459803472366,-1.07389594748089,-1.33456713838902,"yes",1.06086853536911,1.1751543318661,-0.374011422481124,-0.218828467635473,2008,2009,0.892153169999307,0.00093885201907129,"yes",0.00105234398155198,-0.189110313165098,-0.317211406497619
"1932",2012,"no",0.91,901.851059512345,1.36414379791659,1.43757556218258,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"2012-09",9,2012,384,6.3,-1.62151027523967,-1.8565552975367,-1.54480288897165,-1.17414870708256,-1.33456713838902,"yes",0.860156491370818,0.779567525244567,-1.47610892087614,-1.65062767795551,2013,2014,0.892153169999307,-0.471990627917285,"no",-0.529046629871474,0.0358645574599187,0.126195420854501
"1933",2013,"no",0.56,557.57142646466,0.860156491370818,0.978274916998945,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"2013-09",9,2013,415,6.10833333333333,-0.529981832142262,-1.64570225669967,-1.47610892087614,-1.01055589410172,-1.33456713838902,"yes",0.779567525244567,0.533225447260971,-1.65062767795551,-1.91627992847672,2014,2015,0.892153169999307,0.0319966786284888,"yes",0.0358645574599187,0.126195420854501,0.402316255558016
"1934",2014,"no",0.495,494.493932687788,0.779567525244567,0.96705706454008,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142051,37.68938528,"2014-09",9,2014,347,6.21666666666667,-0.420512189820389,-1.13516019648795,-1.65062767795551,-1.36899003488036,-1.33456713838902,"yes",0.533225447260971,NA,-1.91627992847672,NA,2015,2016,0.892153169999307,0.11258564475474,"yes",0.126195420854501,0.402316255558016,NA
"1935",2015,"no",0.33,330.517920391824,0.533225447260971,0.731239931036243,"ic","PJ",1,1,"9PJ1_1A",9,"Mammoth","low","9pj1_1",37.5,0.110446875,8.88066186338203,1868.5222840746,"ic1",-119.0142,37.6894,"2015-09",9,2015,342.366,7.19259259259259,-0.988218546616032,0.220523591889371,-1.91627992847672,-1.39334145144867,-1.33456713838902,"yes",NA,NA,NA,NA,2016,2017,0.892153169999307,0.358927722738336,"yes",0.402316255558016,NA,NA
"1936",1924,"no",0.535,4.51281930706541,0.787033847478467,0.890627601132013,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"1924-09",9,1924,292,4.575,-0.315435681450596,-1.46686690472836,-1.5627459889525,-1.65716880561764,-1.33456713838902,"yes",0.843461933688431,1.32718697801283,1.18711237365911,-0.181709473272506,1925,1926,0.986916649393451,0.199882801914984,"yes",0.20253260702191,0.145356465303514,-0.344781222232398
"1937",1934,"no",0.815,44.0516478080851,1.58729300449057,1.25461822660099,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"1934-09",9,1934,414,6.48333333333333,-0.178789280678756,-1.2374499193628,-1.4839805195065,-1.01583410941574,-1.33456713838902,"yes",0.766151478461229,1.26416170157617,0.126359632948989,1.52841911412216,1935,1936,0.986916649393451,-0.600376355097114,"no",-0.608335420692416,0.223691809301121,-0.280920432696222
"1938",1959,"no",0.16,16.0095561626936,0.660636037388797,0.83945679471677,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"1959-09",9,1959,338,5.25833333333333,1.85428707505171,-0.425392327680852,-1.48657427210883,-1.41627272657104,-1.33456713838902,"yes",0.893270856987579,0.771484183810317,-1.3076734450545,-1.21796995843049,1960,1961,0.986916649393451,0.326280612004654,"yes",0.330606046827949,0.0948872353743612,0.21828840937635
"1939",1968,"no",0.215,23.7857048386758,0.873566075523578,0.84913112164297,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"1968-09",9,1968,303,4.53333333333333,-0.763559239010036,-0.636501883161014,-1.44714501212832,-1.59967709464732,-1.33456713838902,"yes",0.887169697379058,1.18078958685104,0.802265942754069,-0.194569900661016,1969,1970,0.986916649393451,0.113350573869872,"yes",0.114853239064856,0.101069276798295,-0.196443071030103
"1940",1977,"no",0.185,24.1282955175493,0.719554655355099,0.733544805709754,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"1977-09",9,1977,209,4.38333333333333,-0.457821246819144,-0.0307248489667141,-1.84643069341605,-2.08977834319344,-1.33456713838902,"yes",0.661109100613462,1.12863461859977,0.626661495459198,-0.553039337963239,1978,1979,0.986916649393451,0.267361994038351,"yes",0.270906356887048,0.330126712301619,-0.143596695114441
"1941",1987,"no",0.145,21.2892382365002,0.586133397625109,0.672413101516749,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"1987-09",9,1987,319,4.51666666666667,-1.00558684734974,-0.968149824474213,-1.42327847214898,-1.51592832088806,-1.33456713838902,"yes",1.05889371149826,1.33407239297129,-0.962592245171432,-0.57877613523765,1988,1989,0.986916649393451,0.400783251768342,"yes",0.406096352731165,-0.0729312471818639,-0.351757915717809
"1942",1992,"yes",0.313763440860215,48.5206965277097,1.32127147071802,1.35066080314131,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"1992-09",9,1992,383,5.46666666666667,-0.725339759876028,-1.21717279253656,-1.34129056172265,-1.17942258326794,-1.33456713838902,"yes",0.977282247147472,0.771837670033285,0.435758484126388,-1.49302639331784,1993,1994,0.986916649393451,-0.334354821324565,"no",-0.33878729427663,0.00976212353079664,0.217930237059382
"1943",1994,"no",0.18,28.3747229688451,0.771837670033285,0.837439760264136,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"1994-09",9,1994,342,5.275,0.912816162192082,-0.819717320256956,-1.49302639331784,-1.39526421442495,-1.33456713838902,"yes",0.735685871360124,0.786163451037989,1.31877668727891,0.295221139858323,1995,1996,0.986916649393451,0.215078979360165,"yes",0.217930237059382,0.254561292676267,0.2034145421286
"1944",2007,"no",0.26,45.3638344770414,1.2576500584919,1.28440481386809,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"2007-09",9,2007,403,5.74166666666667,-0.211864651994874,-1.72423792533179,-1.39459803472366,-1.07389594748089,-1.33456713838902,"yes",1.24518832946582,0.542267838403148,-0.374011422481124,-0.218828467635473,2008,2009,0.986916649393451,-0.270733409098451,"no",-0.274322466101713,-0.261695534502429,0.450543428630553
"1945",2012,"no",0.23,41.5891298303944,1.16700567776855,1.24325879365893,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"2012-09",9,2012,384,6.3,-1.62151027523967,-1.8565552975367,-1.54480288897165,-1.17414870708256,-1.33456713838902,"yes",1.74222917539697,0.362303347888909,-1.47610892087614,-1.65062767795551,2013,2014,0.986916649393451,-0.1800890283751,"no",-0.182476431505924,-0.765325548482462,0.632893671302864
"1946",2013,"no",0.34,62.0884238838051,1.74222917539697,1.87654044180992,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"2013-09",9,2013,415,6.10833333333333,-0.529981832142262,-1.64570225669967,-1.47610892087614,-1.01055589410172,-1.33456713838902,"yes",0.362303347888909,0.993402023955615,-1.65062767795551,-1.91627992847672,2014,2015,0.986916649393451,-0.755312526003517,"no",-0.765325548482462,0.632893671302864,-0.00657134983602739
"1947",2014,"no",0.07,12.873074508765,0.362303347888909,0.394754764273202,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142051,37.68938528,"2014-09",9,2014,347,6.21666666666667,-0.420512189820389,-1.13516019648795,-1.65062767795551,-1.36899003488036,-1.33456713838902,"yes",0.993402023955615,NA,-1.91627992847672,NA,2015,2016,0.986916649393451,0.624613301504542,"yes",0.632893671302864,-0.00657134983602739,NA
"1948",2015,"no",0.19,35.0963969151641,0.993402023955615,1.09531496081546,"ic","PJ",1,2,"9PJ1_2A",9,"Mammoth","low","9pj1_2",7.5,0.004417875,50.386010965338,2106.0867876048,"ic1",-119.0142,37.6894,"2015-09",9,2015,342.366,7.19259259259259,-0.988218546616032,0.220523591889371,-1.91627992847672,-1.39334145144867,-1.33456713838902,"yes",NA,NA,NA,NA,2016,2017,0.986916649393451,-0.00648537456216436,"no",-0.00657134983602739,NA,NA
"1949",1924,"no",0.565,53.6671204429278,0.809485673213606,1.01647135333073,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"1924-09",9,1924,292,4.575,-0.315435681450596,-1.46686690472836,-1.5627459889525,-1.65716880561764,-1.33456713838902,"yes",0.535176196655534,0.711884990432266,1.18711237365911,-0.181709473272506,1925,1926,1.02003939847909,0.210553725265486,"yes",0.206417247784181,0.475337719843472,0.302100495830154
"1950",1934,"no",0.79,100.440801205715,1.3340719193199,1.21959672337744,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"1934-09",9,1934,414,6.48333333333333,-0.178789280678756,-1.2374499193628,-1.4839805195065,-1.01583410941574,-1.33456713838902,"yes",1.20763264516232,1.84703380187408,0.126359632948989,1.52841911412216,1935,1936,1.02003939847909,-0.314032520840803,"no",-0.307863128923289,-0.183907844111645,-0.810747510956986
"1951",1959,"no",1.015,226.382930998232,1.35735148547293,1.09681332010145,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"1959-09",9,1959,338,5.25833333333333,1.85428707505171,-0.425392327680852,-1.48657427210883,-1.41627272657104,-1.33456713838902,"yes",1.48945141500152,0.669590177373205,-1.3076734450545,-1.21796995843049,1960,1961,1.02003939847909,-0.33731208699384,"no",-0.330685351464641,-0.460190084051981,0.343564397246241
"1952",1968,"no",1.28,345.142908745743,1.54754465206821,1.46954076850984,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"1968-09",9,1968,303,4.53333333333333,-0.763559239010036,-0.636501883161014,-1.44714501212832,-1.59967709464732,-1.33456713838902,"yes",0.606427076215251,1.2655609217732,0.802265942754069,-0.194569900661016,1969,1970,1.02003939847909,-0.527505253589115,"no",-0.517142038215034,0.40548661441955,-0.240698078584207
"1953",1977,"no",0.77,252.256067075586,0.90997597751287,0.8044852319903,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"1977-09",9,1977,209,4.38333333333333,-0.457821246819144,-0.0307248489667141,-1.84643069341605,-2.08977834319344,-1.33456713838902,"yes",1.24440594887811,1.47520138448355,0.626661495459198,-0.553039337963239,1978,1979,1.02003939847909,0.110063420966223,"yes",0.107901146887395,-0.219958710157227,-0.446220005504805
"1954",1987,"no",1.03,388.365568792363,1.30032135103215,1.32137681605357,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"1987-09",9,1987,319,4.51666666666667,-1.00558684734974,-0.968149824474213,-1.42327847214898,-1.51592832088806,-1.33456713838902,"yes",0.944469128577957,0.774813938494637,-0.962592245171432,-0.57877613523765,1988,1989,1.02003939847909,-0.280281952553055,"no",-0.274775614521325,0.0740856382741812,0.240407831648556
"1955",1992,"no",0.805,322.432571072392,1.0818440584019,1.12396623139686,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"1992-09",9,1992,383,5.46666666666667,-0.725339759876028,-1.21717279253656,-1.34129056172265,-1.17942258326794,-1.33456713838902,"yes",1.02986087603407,0.949142807159654,0.435758484126388,-1.49302639331784,1993,1994,1.02003939847909,-0.061804659922811,"no",-0.0605904634810808,-0.00962852765258454,0.0695037774277617
"1956",1994,"no",0.685,280.82406133119,0.949142807159654,0.968767467726201,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"1994-09",9,1994,342,5.275,0.912816162192082,-0.819717320256956,-1.49302639331784,-1.39526421442495,-1.33456713838902,"yes",0.978999148685715,1.14654987565764,1.31877668727891,0.295221139858323,1995,1996,1.02003939847909,0.0708965913194388,"yes",0.0695037774277617,0.0402339849368266,-0.124025088998698
"1957",2007,"no",0.41,189.446833470893,0.750991305600605,0.768032709718898,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"2007-09",9,2007,403,5.74166666666667,-0.211864651994874,-1.72423792533179,-1.39459803472366,-1.07389594748089,-1.33456713838902,"yes",0.922831938319438,1.11457853392466,-0.374011422481124,-0.218828467635473,2008,2009,1.02003939847909,0.269048092878487,"yes",0.263762451999056,0.095297750561982,-0.0926818469821128
"1958",2012,"no",0.41,195.758293111955,0.872075855277565,0.995519481956377,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"2012-09",9,2012,384,6.3,-1.62151027523967,-1.8565552975367,-1.54480288897165,-1.17414870708256,-1.33456713838902,"yes",0.868530430231348,0.830644852601022,-1.47610892087614,-1.65062767795551,2013,2014,1.02003939847909,0.147963543201527,"yes",0.145056694302343,0.148532466955344,0.185673755504408
"1959",2013,"no",0.395,189.595352263591,0.868530430231348,1.04330998992668,"ic","PJ",1,3,"9PJ1_3A",9,"Mammoth","low","9pj1_3",18.9,0.0280552734,21.2034074086113,2489.9381381952,"ic1",-119.0142051,37.68938528,"2013-09",9,2013,415,6.10833333333333,-0.529981832142262,-1.64570225669967,-1.47610892087614,-1.01055589410172,-1.33456713838902,"yes",0.830644852601022,0.648531812336446,-1.65062767795551,-1.91627992847672,2014,2015,1.02003939847909,0.151508968247745,"yes",0.148532466955344,0.185673755504408,0.364209055744881
