"tree.uniqueID","Year","event","spei_post","year_post","pred_mean","pred_50","pred_025","pred_975","Site","Species","Neighborhood","Region","hilo","hegyi","BA","DBH","reduction","spei12","post1","post2","spei_post2","drought_fx","legacy_mean","legacy_50","legacy_025","legacy_975","Region1","recovery"
"4pj2_3101",1931,"post1",0.835961308218123,1932,0.996321618269153,0.996008534728056,0.972406212881834,1.02071752675348,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"yes",-1.63501816619318,0.905064188487353,0.63821094959683,-0.693807103183418,0.346894263540946,-0.0912574297818003,-0.0909443462407029,-0.115653338266132,-0.0673420243944813,"lat3",-0.0912574297818003
"4pj2_3101",1934,"post1",0.268391123869311,1935,0.995035782334638,0.995022498480539,0.978802562445643,1.01244689772427,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"no",-1.832839309638,1.38773213904711,1.03000368789737,0.562507175860472,-0.107425709939797,0.392696356712468,0.392709640566567,0.375285241322834,0.408929576601463,"lat3",0.392696356712468
"4pj2_3101",1959,"post1",-1.07474767403068,1960,0.991741558511639,0.991550530691856,0.962735452570159,1.02116362773441,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"no",-1.4355251996377,1.2165053420853,1.03210298674382,-1.41959073765335,-0.500028520298141,0.224763783573661,0.224954811393444,0.195341714350886,0.253769889515141,"lat3",0.224763783573661
"4pj2_3101",1961,"post1",0.301976843398394,1962,0.995121913662002,0.995226988465485,0.978127404561702,1.01130970413437,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"yes",-1.41959073765335,1.19786660074736,1.16885607125852,0.553163239105331,0.0238077380867312,0.202744687085355,0.202639612281872,0.186556896612986,0.219739196185655,"lat3",0.202744687085355
"4pj2_3101",1977,"post1",1.81151415627017,1978,0.998664542635253,0.998657854786436,0.957593735783449,1.03833552969597,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"yes",-1.95248479000267,0.73818904092735,0.576123700870798,-0.205878043411947,0.241825803704874,-0.260475501707903,-0.260468813859087,-0.30014648876862,-0.2194046948561,"lat3",-0.260475501707903
"4pj2_3101",1990,"post1",-0.24016193696075,1991,0.993559632293163,0.993732787247256,0.976596943293978,1.01005602964727,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"no",-1.35888273792828,1.18231112523848,1.01931123737599,-1.34509294398186,-0.000352251391064173,0.188751492945321,0.188578337991228,0.172255095591217,0.205714181944506,"lat3",0.188751492945321
"4pj2_3101",1992,"post1",0.826869762516353,1993,0.995734122447532,0.995849810083894,0.971176579715061,1.01781381602803,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"yes",-1.34509294398186,1.31263977396921,1.21297864671274,-1.0035128828658,0.0359065372468915,0.316905651521678,0.316789963885316,0.29482595794118,0.34146319425415,"lat3",0.316905651521678
"4pj2_3101",2007,"post1",-0.401628640249529,2008,0.993223257744874,0.993240669556472,0.974829496333794,1.01164496123724,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"no",-1.35707497534601,1.13110089530633,1.49088729058567,-0.531180850040578,-0.260076929453971,0.137877637561452,0.137860225749855,0.119455934069086,0.156271398972532,"lat3",0.137877637561452
"4pj2_3101",2014,"post1",-1.91006153833108,2015,0.989708088725562,0.989563674448864,0.9466986093963,1.03436507992077,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"yes",-1.79048250897163,1.14512925229699,0.876440095778395,-0.465890895458172,0.426650848019981,0.15542116357143,0.155565577848129,0.110764172376228,0.198430642900692,"lat3",0.15542116357143
"4pj2_3101",2015,"post1",-0.465890895458172,2016,0.993174622012644,0.993196678288051,0.973921156059915,1.0109310919336,"cm","PJ",2,"SEKI","low",1.12395523286661,117.33059184,64.2,"no",-1.91006153833108,0.876440095778395,NA,NA,-0.0830957078320291,-0.116734526234249,-0.116756582509656,-0.1344909961552,-0.0974810602815203,"lat3",-0.116734526234249
"4pj3_1",1898,"post1",-0.198582060082259,1899,0.99175288481628,0.991781804567202,0.97447705339901,1.00900095110863,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"no",-1.44304457746534,1.10785244646646,1.17530812544141,0.170684452825451,-0.0337672685089596,0.116099561650185,0.116070641899263,0.0988514953578346,0.133375393067455,"lat3",0.116099561650185
"4pj3_1",1924,"post1",0.674158324900185,1925,0.997330374985599,0.997681837448439,0.975980963007209,1.01917526030051,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"no",-1.83069360264273,1.67034941077676,1.52744427122052,-0.854992440397793,-0.0126815212590283,0.673019035791158,0.672667573328318,0.651174150476247,0.694368447769547,"lat3",0.673019035791158
"4pj3_1",1931,"post1",0.84382170111112,1932,0.99774549567608,0.997963245950884,0.971411965256103,1.0223265942652,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"no",-1.62865821874488,1.19148566915018,0.883371044811817,-0.692761683409444,-0.0616673227940979,0.193740173474096,0.193522423199291,0.169159074884974,0.220073703894072,"lat3",0.193740173474096
"4pj3_1",1934,"post1",0.274670927575586,1935,0.994569777134197,0.994891145738787,0.976843110666657,1.01196774996968,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"no",-1.82483242973721,1.0994705920092,0.879050979964144,0.566953667448269,-0.100810816551212,0.104900814875,0.10457944627041,0.0875028420395199,0.12262748134254,"lat3",0.104900814875
"4pj3_1",1959,"post1",-1.07043001456426,1960,0.985674590813252,0.985649636668516,0.956268795249805,1.01498964196006,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"no",-1.43846625066214,1.12126298007352,1.05067509764919,-1.4245109878134,-0.143335062838282,0.135588389260267,0.135613343405003,0.106273338113456,0.164994184823713,"lat3",0.135588389260267
"4pj3_1",1961,"post1",0.311873996031284,1962,0.994879362142661,0.995107192383742,0.977190379259726,1.01132860896263,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"no",-1.4245109878134,1.09157732275153,0.961596002687841,0.566830431441732,-0.0103159379069436,0.0966979606088669,0.0964701303677857,0.0802487137888966,0.114386943491801,"lat3",0.0966979606088669
"4pj3_1",1977,"post1",1.81179155100725,1978,1.00336015445877,1.00388476442848,0.957651540876198,1.04652909274162,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"yes",-1.97144977485952,0.45705015335659,0.35241964184512,-0.216965303749312,0.47974207034041,-0.54631000110218,-0.546834611071892,-0.589478939385033,-0.500601387519608,"lat3",-0.54631000110218
"4pj3_1",1990,"post1",-0.250315274028977,1991,0.990928115138714,0.991242777294682,0.973962169447457,1.00701034160468,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"yes",-1.36715066580262,0.868515565090506,0.755758430060696,-1.35465351676714,0.0479408740919251,-0.122412550048209,-0.122727212204176,-0.138494776514177,-0.105446604356951,"lat3",-0.122412550048209
"4pj3_1",1992,"post1",0.823508624202957,1993,0.998066644278712,0.998576231653306,0.972839840501863,1.02143253207983,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"yes",-1.35465351676714,0.854248715216772,0.777535300628272,-1.01359165657763,0.273272214401724,-0.14381792906194,-0.144327516436534,-0.167183816863058,-0.118591125285091,"lat3",-0.14381792906194
"4pj3_1",2007,"post1",-0.404134826538968,2008,0.989958042871911,0.990242401161645,0.970934616986622,1.00902373214299,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"no",-1.36716484668352,1.36900670704829,1.46088923684012,-0.516236943535189,-0.202673965716486,0.379048664176376,0.378764305886641,0.359982974905301,0.398072090061665,"lat3",0.379048664176376
"4pj3_1",2014,"post1",-1.90799948484642,2015,0.980443159797118,0.980538274633967,0.936400316240346,1.02366270248767,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"yes",-1.78409699135543,1.55507247812685,NA,NA,0.259634841514969,0.57462931832973,0.574534203492882,0.531409775639178,0.618672161886502,"lat3",0.57462931832973
"4pj3_1",2015,"post1",NA,2016,NA,NA,NA,NA,"cm","PJ",3,"SEKI","low",2.82209127083527,182.181639255,47.1,"no",-1.90799948484642,NA,NA,NA,-0.495338104774019,NA,NA,NA,NA,"lat3",NA
"4pj3_1965",1898,"post1",-0.198582060082259,1899,0.991400280214996,0.991467227800572,0.974552140085195,1.0076606991148,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"no",-1.44304457746534,1.09430208109907,1.30131767976542,0.170684452825451,-0.258089793746043,0.102901800884078,0.102834853298501,0.0866413819842703,0.119749941013878,"lat3",0.102901800884078
"4pj3_1965",1924,"post1",0.674158324900185,1925,0.996661467186883,0.997308085738784,0.973829793781084,1.01653683541161,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"yes",-1.83069360264273,1.10916105963703,0.915779493550995,-0.854992440397793,0.243154330531701,0.112499592450143,0.111852973898242,0.0926242242254136,0.135331265855942,"lat3",0.112499592450143
"4pj3_1965",1931,"post1",0.84382170111112,1932,0.998112428373457,0.99820647056578,0.969980740746136,1.0210847410081,"cm","PJ",3,"SEKI","low",3.31481775061877,236.7696276792,54.7,"no",-1.62865821874488,0.99667772246951,1.0528997768741,-0.692761683409444,-0.223138918707024,-0.00143470590394743,-0.00152874809626968,-0.024407018538588,0.0266969817233739,"lat3",-0.00143470590394743
